Id,Alias,Name,DepartureTime,ArrivalTime,Duration,OrigenLatitude,OrigenLogitude,DestinoLatitude,DestinoLogitude,IsActive,BusId
1,Ruta 6,6,05:00:00,21:00:00,120,12.1568805,-86.1988983,12.1568805,-86.1988983,1,1
2,Ruta 6,6,05:00:00,17:00:00,120,12.1568805,-86.1988983,12.1568805,-86.1988983,1,1
3,Ruta 101,101,05:00:00,21:00:00,120,12.1349832,-86.1946597,12.1349832,-86.1946597,1,2
4,Ruta 101,101,05:00:00,17:00:00,120,12.1349832,-86.1946597,12.1349832,-86.1946597,1,2
5,Ruta 102,102,05:00:00,21:00:00,120,12.1349832,-86.1946597,12.1349832,-86.1946597,1,3
6,Ruta 102,102,05:00:00,17:00:00,120,12.1349832,-86.1946597,12.1349832,-86.1946597,1,3
7,Ruta 103,103,05:00:00,21:00:00,120,12.1167227,-86.1969608,12.1167227,-86.1969608,1,4
8,Ruta 103,103,05:00:00,17:00:00,120,12.1167227,-86.1969608,12.1167227,-86.1969608,1,4
9,Ruta 104,104,05:00:00,21:00:00,120,12.1349832,-86.1946597,12.1349832,-86.1946597,1,5
10,Ruta 104,104,05:00:00,17:00:00,120,12.1349832,-86.1946597,12.1349832,-86.1946597,1,5
11,Ruta 105,105,05:00:00,21:00:00,120,12.1552632,-86.1841815,12.1552632,-86.1841815,1,6
12,Ruta 105,105,05:00:00,17:00:00,120,12.1552632,-86.1841815,12.1552632,-86.1841815,1,6
13,Ruta 106,106,05:00:00,21:00:00,120,12.1599865,-86.1954445,12.1599865,-86.1954445,1,7
14,Ruta 106,106,05:00:00,17:00:00,120,12.1599865,-86.1954445,12.1599865,-86.1954445,1,7
15,Ruta 107,107,05:00:00,21:00:00,120,12.1455964,-86.2633523,12.1455964,-86.2633523,1,8
16,Ruta 107,107,05:00:00,17:00:00,120,12.1455964,-86.2633523,12.1455964,-86.2633523,1,8
17,Ruta 108,108,05:00:00,21:00:00,120,12.1566088,-86.2111748,12.1566088,-86.2111748,1,9
18,Ruta 108,108,05:00:00,17:00:00,120,12.1566088,-86.2111748,12.1566088,-86.2111748,1,9
19,Ruta 109,109,05:00:00,21:00:00,120,12.1047087,-86.228711,12.1047087,-86.228711,1,10
20,Ruta 109,109,05:00:00,17:00:00,120,12.1047087,-86.228711,12.1047087,-86.228711,1,10
