Id,Name,ScheduleId,TotalArrivalTime,Latitude,Longitude,CoordinateId
1,Stop1,1,53,12.1568805,-86.1988983,1
2,Stop2,1,53,12.1544568,-86.1991556,7
3,Stop3,1,53,12.1530759,-86.1992979,11
4,Stop4,1,53,12.1485487,-86.1999905,22
5,Stop5,1,53,12.1485874,-86.2035718,31
6,Stop6,1,53,12.1489305,-86.2084454,38
7,Stop7,1,53,12.1492972,-86.2115917,51
8,Stop8,1,53,12.149557,-86.2176573,66
9,Stop9,1,53,12.1471143,-86.2179112,78
10,Stop10,1,53,12.1451565,-86.2184214,87
11,Stop11,1,53,12.1421639,-86.2187709,107
12,Stop12,1,53,12.1414221,-86.2176447,116
13,Stop13,1,53,12.1376818,-86.2166559,130
14,Stop14,1,53,12.1382629,-86.2190948,146
15,Stop15,1,53,12.1385024,-86.2219929,157
16,Stop16,1,53,12.1384094,-86.2239746,161
17,Stop17,1,53,12.1383588,-86.2270693,170
18,Stop18,1,53,12.1384584,-86.2292108,185
19,Stop19,1,53,12.1391109,-86.2307829,195
20,Stop20,1,53,12.1389148,-86.2324411,200
21,Stop21,1,53,12.1370562,-86.2338998,212
22,Stop22,1,53,12.1375172,-86.2378776,221
23,Stop23,1,53,12.1373426,-86.2409498,234
24,Stop24,1,53,12.1365415,-86.2429205,246
25,Stop25,1,53,12.1371039,-86.2444652,247
26,Stop26,1,53,12.1387203,-86.246332,255
27,Stop27,1,53,12.1401682,-86.246848,264
28,Stop28,1,53,12.1405415,-86.2488668,268
29,Stop29,1,53,12.1406848,-86.251173,271
30,Stop30,1,53,12.1435307,-86.2509417,281
31,Stop31,1,53,12.1488611,-86.2490939,314
32,Stop32,1,53,12.150837,-86.2494014,321
33,Stop33,1,53,12.1525363,-86.2583882,344
34,Stop34,1,53,12.1541678,-86.2640651,366
35,Stop35,1,53,12.1542333,-86.2656516,372
36,Stop36,1,53,12.1545552,-86.2689065,380
37,Stop37,1,53,12.1547708,-86.2712543,386
38,Stop38,1,53,12.1565664,-86.2743874,397
39,Stop39,1,53,12.1593011,-86.2780464,410
40,Stop40,1,53,12.1593442,-86.2791727,412
41,Stop41,1,53,12.1594358,-86.2821011,416
42,Stop42,1,53,12.1596319,-86.2847384,423
43,Stop43,1,53,12.1598277,-86.2875033,428
44,Stop44,1,53,12.1598993,-86.2906708,433
45,Stop45,1,53,12.1598383,-86.2925795,437
46,Stop46,1,53,12.1585356,-86.2931079,440
47,Stop47,1,53,12.1578716,-86.2997557,460
48,Stop48,1,53,12.1549249,-86.2998576,465
49,Stop49,1,53,12.1518117,-86.3000576,472
50,Stop50,1,53,12.1493276,-86.2985728,479
51,Stop51,1,53,12.1475424,-86.2975077,485
52,Stop52,1,53,12.1450135,-86.2994838,494
53,Stop53,1,53,12.1402989,-86.2997016,506
54,Stop54,1,53,12.1390167,-86.3000836,512
55,Stop55,1,53,12.1386592,-86.3019102,516
56,Stop56,1,53,12.1382211,-86.3045258,521
57,Stop57,1,53,12.1321234,-86.3101534,550
58,Stop58,1,53,12.1282116,-86.3116594,566
59,Stop59,1,53,12.1230413,-86.3082028,608
60,Stop60,1,53,12.1237052,-86.3060698,610
61,Stop61,1,53,12.1241442,-86.3043903,615
62,Stop62,1,53,12.1252619,-86.298904,624
63,Stop63,1,53,12.1252992,-86.2971674,633
64,Stop64,1,53,12.1231279,-86.296961,641
65,Stop65,1,53,12.1231279,-86.296961,642
66,Stop66,1,53,12.1253297,-86.2955552,656
67,Stop67,1,53,12.1258307,-86.2964158,661
68,Stop68,1,53,12.1253996,-86.2998255,668
69,Stop69,1,53,12.1244582,-86.3045169,679
70,Stop70,1,53,12.1233079,-86.3079483,686
71,Stop71,1,53,12.1266496,-86.311842,715
72,Stop72,1,53,12.1380657,-86.3044868,756
73,Stop73,1,53,12.138494,-86.3018705,761
74,Stop74,1,53,12.1395009,-86.2995133,768
75,Stop75,1,53,12.140289,-86.2995763,771
76,Stop76,1,53,12.1450075,-86.2993525,783
77,Stop77,1,53,12.146231,-86.2974503,793
78,Stop78,1,53,12.1502664,-86.2974894,802
79,Stop79,1,53,12.1517579,-86.2999544,807
80,Stop80,1,53,12.1548977,-86.2997463,814
81,Stop81,1,53,12.1555342,-86.2997137,815
82,Stop82,1,53,12.1578704,-86.2996053,819
83,Stop83,1,53,12.157764,-86.2956546,829
84,Stop84,1,53,12.158525,-86.2930181,839
85,Stop85,1,53,12.1590576,-86.2929614,841
86,Stop86,1,53,12.1597082,-86.292575,842
87,Stop87,1,53,12.1597794,-86.2906782,846
88,Stop88,1,53,12.1596882,-86.2874516,851
89,Stop89,1,53,12.1594927,-86.2847714,856
90,Stop90,1,53,12.1593326,-86.2821066,863
91,Stop91,1,53,12.1592256,-86.2791756,867
92,Stop92,1,53,12.1592072,-86.2780385,869
93,Stop93,1,53,12.1585097,-86.2765634,874
94,Stop94,1,53,12.1564953,-86.2743941,882
95,Stop95,1,53,12.1539601,-86.2729059,894
96,Stop96,1,53,12.153706,-86.2669416,909
97,Stop97,1,53,12.1536101,-86.263265,919
98,Stop98,1,53,12.1526149,-86.2587582,932
99,Stop99,1,53,12.1524528,-86.2585299,934
100,Stop100,1,53,12.1522873,-86.2549833,941
101,Stop101,1,53,12.1522848,-86.2549406,943
102,Stop102,1,53,12.1512126,-86.2549667,946
103,Stop103,1,53,12.1508608,-86.2525897,958
104,Stop104,1,53,12.1506977,-86.2494039,963
105,Stop105,1,53,12.1484197,-86.2495522,974
106,Stop106,1,53,12.1441766,-86.2510199,1001
107,Stop107,1,53,12.1405756,-86.2511814,1013
108,Stop108,1,53,12.1403881,-86.2488629,1016
109,Stop109,1,53,12.1401591,-86.2470535,1020
110,Stop110,1,53,12.1389563,-86.2466998,1026
111,Stop111,1,53,12.1370452,-86.244494,1037
112,Stop112,1,53,12.1364949,-86.2429457,1038
113,Stop113,1,53,12.1360678,-86.2420135,1045
114,Stop114,1,53,12.1360855,-86.2417766,1047
115,Stop115,1,53,12.1374034,-86.2378867,1061
116,Stop116,1,53,12.137198,-86.2361023,1064
117,Stop117,1,53,12.1369545,-86.2339071,1070
118,Stop118,1,53,12.1388206,-86.2324018,1082
119,Stop119,1,53,12.1383414,-86.22924,1096
120,Stop120,1,53,12.1382632,-86.227082,1112
121,Stop121,1,53,12.1383216,-86.2239683,1121
122,Stop122,1,53,12.1383846,-86.2218424,1126
123,Stop123,1,53,12.1378622,-86.2185694,1139
124,Stop124,1,53,12.1372355,-86.2166797,1147
125,Stop125,1,53,12.1412129,-86.2166246,1162
126,Stop126,1,53,12.1421628,-86.2186855,1170
127,Stop127,1,53,12.1445794,-86.2185614,1185
128,Stop128,1,53,12.1468493,-86.2169058,1202
129,Stop129,1,53,12.1496561,-86.217513,1217
130,Stop130,1,53,12.1493612,-86.2130197,1228
131,Stop131,1,53,12.1488312,-86.208537,1243
132,Stop132,1,53,12.1483671,-86.2026442,1254
133,Stop133,1,53,12.153062,-86.1991373,1272
134,Stop134,1,53,12.1568687,-86.1988398,1282
135,Stop135,2,53,12.1568805,-86.1988983,1
136,Stop136,2,53,12.1544568,-86.1991556,7
137,Stop137,2,53,12.1530759,-86.1992979,11
138,Stop138,2,53,12.1485487,-86.1999905,22
139,Stop139,2,53,12.1485874,-86.2035718,31
140,Stop140,2,53,12.1489305,-86.2084454,38
141,Stop141,2,53,12.1492972,-86.2115917,51
142,Stop142,2,53,12.149557,-86.2176573,66
143,Stop143,2,53,12.1471143,-86.2179112,78
144,Stop144,2,53,12.1451565,-86.2184214,87
145,Stop145,2,53,12.1421639,-86.2187709,107
146,Stop146,2,53,12.1414221,-86.2176447,116
147,Stop147,2,53,12.1376818,-86.2166559,130
148,Stop148,2,53,12.1382629,-86.2190948,146
149,Stop149,2,53,12.1385024,-86.2219929,157
150,Stop150,2,53,12.1384094,-86.2239746,161
151,Stop151,2,53,12.1383588,-86.2270693,170
152,Stop152,2,53,12.1384584,-86.2292108,185
153,Stop153,2,53,12.1391109,-86.2307829,195
154,Stop154,2,53,12.1389148,-86.2324411,200
155,Stop155,2,53,12.1370562,-86.2338998,212
156,Stop156,2,53,12.1375172,-86.2378776,221
157,Stop157,2,53,12.1373426,-86.2409498,234
158,Stop158,2,53,12.1365415,-86.2429205,246
159,Stop159,2,53,12.1371039,-86.2444652,247
160,Stop160,2,53,12.1387203,-86.246332,255
161,Stop161,2,53,12.1401682,-86.246848,264
162,Stop162,2,53,12.1405415,-86.2488668,268
163,Stop163,2,53,12.1406848,-86.251173,271
164,Stop164,2,53,12.1435307,-86.2509417,281
165,Stop165,2,53,12.1488611,-86.2490939,314
166,Stop166,2,53,12.150837,-86.2494014,321
167,Stop167,2,53,12.1525363,-86.2583882,344
168,Stop168,2,53,12.1541678,-86.2640651,366
169,Stop169,2,53,12.1542333,-86.2656516,372
170,Stop170,2,53,12.1545552,-86.2689065,380
171,Stop171,2,53,12.1547708,-86.2712543,386
172,Stop172,2,53,12.1565664,-86.2743874,397
173,Stop173,2,53,12.1593011,-86.2780464,410
174,Stop174,2,53,12.1593442,-86.2791727,412
175,Stop175,2,53,12.1594358,-86.2821011,416
176,Stop176,2,53,12.1596319,-86.2847384,423
177,Stop177,2,53,12.1598277,-86.2875033,428
178,Stop178,2,53,12.1598993,-86.2906708,433
179,Stop179,2,53,12.1598383,-86.2925795,437
180,Stop180,2,53,12.1585356,-86.2931079,440
181,Stop181,2,53,12.1578716,-86.2997557,460
182,Stop182,2,53,12.1549249,-86.2998576,465
183,Stop183,2,53,12.1518117,-86.3000576,472
184,Stop184,2,53,12.1493276,-86.2985728,479
185,Stop185,2,53,12.1475424,-86.2975077,485
186,Stop186,2,53,12.1450135,-86.2994838,494
187,Stop187,2,53,12.1402989,-86.2997016,506
188,Stop188,2,53,12.1390167,-86.3000836,512
189,Stop189,2,53,12.1386592,-86.3019102,516
190,Stop190,2,53,12.1382211,-86.3045258,521
191,Stop191,2,53,12.1321234,-86.3101534,550
192,Stop192,2,53,12.1282116,-86.3116594,566
193,Stop193,2,53,12.1230413,-86.3082028,608
194,Stop194,2,53,12.1237052,-86.3060698,610
195,Stop195,2,53,12.1241442,-86.3043903,615
196,Stop196,2,53,12.1252619,-86.298904,624
197,Stop197,2,53,12.1252992,-86.2971674,633
198,Stop198,2,53,12.1231279,-86.296961,641
199,Stop199,2,53,12.1231279,-86.296961,642
200,Stop200,2,53,12.1253297,-86.2955552,656
201,Stop201,2,53,12.1258307,-86.2964158,661
202,Stop202,2,53,12.1253996,-86.2998255,668
203,Stop203,2,53,12.1244582,-86.3045169,679
204,Stop204,2,53,12.1233079,-86.3079483,686
205,Stop205,2,53,12.1266496,-86.311842,715
206,Stop206,2,53,12.1380657,-86.3044868,756
207,Stop207,2,53,12.138494,-86.3018705,761
208,Stop208,2,53,12.1395009,-86.2995133,768
209,Stop209,2,53,12.140289,-86.2995763,771
210,Stop210,2,53,12.1450075,-86.2993525,783
211,Stop211,2,53,12.146231,-86.2974503,793
212,Stop212,2,53,12.1502664,-86.2974894,802
213,Stop213,2,53,12.1517579,-86.2999544,807
214,Stop214,2,53,12.1548977,-86.2997463,814
215,Stop215,2,53,12.1555342,-86.2997137,815
216,Stop216,2,53,12.1578704,-86.2996053,819
217,Stop217,2,53,12.157764,-86.2956546,829
218,Stop218,2,53,12.158525,-86.2930181,839
219,Stop219,2,53,12.1590576,-86.2929614,841
220,Stop220,2,53,12.1597082,-86.292575,842
221,Stop221,2,53,12.1597794,-86.2906782,846
222,Stop222,2,53,12.1596882,-86.2874516,851
223,Stop223,2,53,12.1594927,-86.2847714,856
224,Stop224,2,53,12.1593326,-86.2821066,863
225,Stop225,2,53,12.1592256,-86.2791756,867
226,Stop226,2,53,12.1592072,-86.2780385,869
227,Stop227,2,53,12.1585097,-86.2765634,874
228,Stop228,2,53,12.1564953,-86.2743941,882
229,Stop229,2,53,12.1539601,-86.2729059,894
230,Stop230,2,53,12.153706,-86.2669416,909
231,Stop231,2,53,12.1536101,-86.263265,919
232,Stop232,2,53,12.1526149,-86.2587582,932
233,Stop233,2,53,12.1524528,-86.2585299,934
234,Stop234,2,53,12.1522873,-86.2549833,941
235,Stop235,2,53,12.1522848,-86.2549406,943
236,Stop236,2,53,12.1512126,-86.2549667,946
237,Stop237,2,53,12.1508608,-86.2525897,958
238,Stop238,2,53,12.1506977,-86.2494039,963
239,Stop239,2,53,12.1484197,-86.2495522,974
240,Stop240,2,53,12.1441766,-86.2510199,1001
241,Stop241,2,53,12.1405756,-86.2511814,1013
242,Stop242,2,53,12.1403881,-86.2488629,1016
243,Stop243,2,53,12.1401591,-86.2470535,1020
244,Stop244,2,53,12.1389563,-86.2466998,1026
245,Stop245,2,53,12.1370452,-86.244494,1037
246,Stop246,2,53,12.1364949,-86.2429457,1038
247,Stop247,2,53,12.1360678,-86.2420135,1045
248,Stop248,2,53,12.1360855,-86.2417766,1047
249,Stop249,2,53,12.1374034,-86.2378867,1061
250,Stop250,2,53,12.137198,-86.2361023,1064
251,Stop251,2,53,12.1369545,-86.2339071,1070
252,Stop252,2,53,12.1388206,-86.2324018,1082
253,Stop253,2,53,12.1383414,-86.22924,1096
254,Stop254,2,53,12.1382632,-86.227082,1112
255,Stop255,2,53,12.1383216,-86.2239683,1121
256,Stop256,2,53,12.1383846,-86.2218424,1126
257,Stop257,2,53,12.1378622,-86.2185694,1139
258,Stop258,2,53,12.1372355,-86.2166797,1147
259,Stop259,2,53,12.1412129,-86.2166246,1162
260,Stop260,2,53,12.1421628,-86.2186855,1170
261,Stop261,2,53,12.1445794,-86.2185614,1185
262,Stop262,2,53,12.1468493,-86.2169058,1202
263,Stop263,2,53,12.1496561,-86.217513,1217
264,Stop264,2,53,12.1493612,-86.2130197,1228
265,Stop265,2,53,12.1488312,-86.208537,1243
266,Stop266,2,53,12.1483671,-86.2026442,1254
267,Stop267,2,53,12.153062,-86.1991373,1272
268,Stop268,2,53,12.1568687,-86.1988398,1282
269,Stop269,3,63,12.1349832,-86.1946597,1283
270,Stop270,3,63,12.1338965,-86.199187,1302
271,Stop271,3,63,12.1302349,-86.2016047,1311
272,Stop272,3,63,12.1277488,-86.2032044,1317
273,Stop273,3,63,12.1261232,-86.2048215,1327
274,Stop274,3,63,12.1267478,-86.2064952,1332
275,Stop275,3,63,12.1274807,-86.2097171,1347
276,Stop276,3,63,12.1278606,-86.2118962,1356
277,Stop277,3,63,12.1283718,-86.2158967,1367
278,Stop278,3,63,12.1286856,-86.2184971,1382
279,Stop279,3,63,12.1284792,-86.2223622,1402
280,Stop280,3,63,12.1266488,-86.2233555,1408
281,Stop281,3,63,12.1250024,-86.2237018,1415
282,Stop282,3,63,12.1235681,-86.2240269,1424
283,Stop283,3,63,12.1208984,-86.224869,1437
284,Stop284,3,63,12.1219175,-86.2285494,1446
285,Stop285,3,63,12.1209491,-86.2308747,1459
286,Stop286,3,63,12.119937,-86.2319062,1465
287,Stop287,3,63,12.1206488,-86.2327811,1468
288,Stop288,3,63,12.1285562,-86.2333853,1501
289,Stop289,3,63,12.1286652,-86.2329833,1504
